cluster,bridge_age,condition_score,maintenance_priority,future_burden_ratio,aging_rate,fiscal_index,structure_category,bridge_area,emergency_route,overpass,repair_year_normalized,under_river,distance_to_coast_km
11,47.583333333333336,1.6666666666666667,79.5,19.4,29.702234760859454,0.45,1.75,54.09583333333333,0.0,0.0,0.0,0.0,3.5669626074768366
12,41.22222222222222,1.4444444444444444,59.333333333333336,118.09999999999998,29.702234760859458,0.4,1.3333333333333333,208.93111111111108,1.0,0.0,0.0,1.0,1.092962869225445
13,40.095238095238095,1.5714285714285714,65.14285714285714,118.1,29.702234760859454,0.4,1.0952380952380953,57.55714285714286,1.0,0.0,0.0,0.0,0.4791423458476989
14,54.2,3.0,162.6,20.259999999999998,30.0628898993696,0.8219999999999998,1.0,45.327999999999996,0.0,0.0,0.0,0.0,0.6420543354210742
15,58.75,3.0,176.25,63.225,30.88711572977436,0.6625,2.5,176.055,0.0,0.0,1.0,1.0,15.481250642764962
16,58.333333333333336,1.0,58.333333333333336,26.5,33.640780029060885,0.71,1.2222222222222223,79.05777777777777,0.0,0.0,0.8855218855218855,1.0,11.445079254441545
17,73.5,3.0,220.5,25.525,33.08173469629662,0.7274999999999999,1.125,134.91375,0.0,0.0,0.9734848484848485,1.0,10.567121661611836
18,67.6,2.0,135.2,26.5,33.640780029060885,0.71,1.2,93.904,0.0,0.0,0.8484848484848484,1.0,12.657071895951445
19,43.625,2.0,87.25,48.464582596391935,35.30059183416928,0.5739458790237001,1.875,287.1125,1.0,1.0,0.0,0.0,2.300453839750752
20,18.333333333333332,2.0,36.666666666666664,26.5,33.640780029060885,0.71,2.888888888888889,591.1333333333333,0.0,0.0,0.0,0.0,1.778984937597813
21,50.81818181818182,3.0,152.45454545454547,44.865150979194134,44.38021179214011,0.4219606392899637,1.3636363636363635,170.3272727272727,1.0,0.0,0.9696969696969698,1.0,14.825725191113799
22,48.333333333333336,2.0,96.66666666666667,44.4,44.33366417035099,0.38999999999999996,1.3333333333333333,112.46416666666666,1.0,0.0,0.8636363636363636,0.0,16.8852474823357
23,42.58139534883721,1.6046511627906976,71.53488372093024,8.4,44.44795351187468,0.32,1.5813953488372092,145.89627906976744,1.0,0.0,0.0,1.0,4.095617344773349
24,57.96,1.72,101.24,8.4,44.44795351187467,0.32,1.12,40.731676,1.0,0.0,0.0,0.0,2.4098344863049515
25,52.470588235294116,1.8235294117647058,93.23529411764706,8.4,44.44795351187468,0.32,1.8823529411764706,212.65029411764704,1.0,0.0,0.875222816399287,1.0,3.958848813715496
26,62.875,3.0,188.625,8.4,44.44795351187468,0.32,1.375,232.405625,1.0,0.0,0.0,1.0,1.9378208417698894
27,44.69090909090909,1.690909090909091,78.6,8.4,44.44795351187469,0.32,1.490909090909091,185.64590909090907,0.0,0.0,0.0,1.0,4.271291321557302
28,58.285714285714285,2.857142857142857,166.28571428571428,8.4,44.44795351187468,0.32,1.0,54.22428571428571,0.0,0.0,0.9307359307359307,1.0,3.8044685339234117
29,51.91891891891892,1.7027027027027026,87.78378378378379,8.4,44.44795351187468,0.32,1.1891891891891893,36.683437837837836,0.0,0.0,0.0,0.0,1.4919798971294902
30,13.9,1.3,20.5,8.4,44.44795351187468,0.32,1.7,417.0538,1.0,0.0,0.0,0.0,4.200099190303661
31,52.42857142857143,2.857142857142857,150.0,8.4,44.44795351187468,0.32,1.0,48.37571428571429,0.0,0.0,0.974025974025974,0.0,2.119048405762784
