bridge_id,degree,num_neighbors,component_increase,disconnected_nodes,k_hop_nodes,indirect_damage_score
BR_0271,372,372,70,70,379,6.843247090843761
BR_0522,815,815,0,0,836,6.833970834329429
BR_0633,810,810,0,0,842,6.831341142720536
BR_0476,130,130,107,107,139,6.816173318876659
BR_0528,807,807,1,1,824,6.806709592959027
BR_0242,810,810,0,0,834,6.802972348394294
BR_0517,802,802,0,0,834,6.764722288628576
BR_0525,803,803,0,0,822,6.726950354609929
BR_0691,147,147,101,101,156,6.636486324514001
BR_0650,780,780,1,1,796,6.578324861107883
BR_0518,776,776,0,0,807,6.544664913538928
BR_0595,771,771,0,0,804,6.510120328313013
BR_0651,778,778,0,0,794,6.508128137700215
BR_0586,771,771,0,0,791,6.464021037532872
BR_0243,758,758,1,1,783,6.427037905972016
BR_0523,756,756,0,0,773,6.328472388238107
BR_0679,165,165,92,92,173,6.300954557968021
BR_0197,740,740,0,0,779,6.27324886445135
BR_0515,695,695,7,7,721,6.227212588596688
BR_0592,745,745,0,0,756,6.215594868116982
BR_0272,648,648,14,14,663,6.171613797800595
BR_0766,179,179,87,87,189,6.156919701787115
BR_0021,736,736,0,0,750,6.151286955135868
BR_0022,736,736,0,0,750,6.151286955135868
BR_0230,734,734,0,0,752,6.148816638775998
BR_0229,733,733,0,0,750,6.136943182723723
BR_0189,721,721,1,1,751,6.136656202250604
BR_0519,724,724,0,0,755,6.111642361941191
BR_0187,720,720,0,0,760,6.110247828512232
BR_0481,248,248,75,75,251,6.064180504678661
BR_0231,708,708,0,0,726,5.932305362977129
BR_0220,691,691,1,1,733,5.929388690895118
BR_0221,701,701,0,0,731,5.916567057136028
BR_0266,704,704,0,0,719,5.8883576380588085
BR_0049,544,544,25,25,556,5.883892505464247
BR_0540,696,696,0,0,715,5.835923181129971
BR_0074,392,392,47,47,405,5.799604594470729
BR_0516,685,685,0,0,716,5.786875448242888
BR_0117,600,600,14,14,610,5.754170176794938
BR_0296,688,688,0,0,702,5.75157383058411
BR_0669,651,651,4,4,665,5.657629669947513
BR_0276,672,672,0,0,687,5.621882221690971
BR_0748,670,670,0,0,686,5.608773607458762
BR_0190,598,598,10,10,627,5.590723310258055
BR_0379,642,642,4,4,657,5.586229558384838
BR_0273,667,667,0,0,682,5.580245437883496
BR_0192,653,653,1,1,682,5.5668498431781686
